t_now Tz phi_x phi_y phi_z dphi_x dphi_y dphi_z enc_pos_1 enc_pos_2 enc_pos_3 enc_dtick_1 enc_dtick_2 enc_dtick_3 theta_x theta_y theta_z 
2.2224647998809814 0.75 0.020896325450098886 -0.0718624513019707 4.4554719807222165 0.0 0.0 2.1475114598209726 5754 5640 5594 13 13 13 -0.0174490325152874 -0.09012137353420258 1.1570050716400146 
2.2277355194091797 0.75 0.020896325450098886 -0.07186245130197137 4.465700577805343 0.0 0.0 1.9848185669301515 5767 5653 5607 12 12 12 -0.018024275079369545 -0.09012137353420258 1.166400671005249 
2.2330102920532227 0.75 0.020896325450098886 -0.07186245130197154 4.47514235972823 -0.08603559556200116 -0.04967267425761123 2.1855976673348914 5779 5665 5619 15 14 15 -0.018791265785694122 -0.08992962539196014 1.1756045818328857 
2.238253593444824 0.75 0.020442057505531536 -0.07212472302205121 4.486682315411758 0.0 0.0 2.1102944260629855 5794 5679 5634 13 13 13 -0.019366508349776268 -0.08992962539196014 1.1850001811981201 
2.243501663208008 0.75 0.02044205750553125 -0.07212472302205088 4.496910912494886 0.0 0.0 2.1373586695838664 5807 5692 5647 16 16 16 -0.019750002771615982 -0.08973787724971771 1.1942040920257568 
2.248741626739502 0.75 0.020442057505531824 -0.07212472302205121 4.509499955058734 0.0963248398149631 -0.05561317219681654 2.1133005434790295 5823 5708 5663 13 13 12 -0.020133499056100845 -0.08973787724971771 1.2035996913909912 
2.2539751529693604 0.75 0.020896325450098886 -0.07238699474213123 4.519466280421781 -0.0902937675546345 -0.052131131003813655 2.1373763711563636 5836 5721 5675 14 13 14 -0.02070874162018299 -0.08935438096523285 1.2129952907562256 
2.25921630859375 0.75 0.02044205750553125 -0.0726492664622119 4.530219420945069 0.0 0.0 2.173984502258723 5850 5734 5689 13 13 13 -0.021283984184265137 -0.08916263282299042 1.2223910093307495 
2.264446496963501 0.75 0.020442057505531824 -0.07264926646221156 4.540448018028196 0.0 -0.10586144100108459 2.117228820021691 5863 5747 5702 14 13 13 -0.021859226748347282 -0.08877914398908615 1.2319782972335815 
2.26967453956604 0.75 0.020442057505531824 -0.07317380990237259 4.550938886831403 0.0 0.0 2.1511245180078427 5877 5760 5715 13 13 13 -0.02262621745467186 -0.08877914398908615 1.2415657043457031 
2.274913787841797 0.75 0.02044205750553125 -0.07317380990237225 4.561167483914532 -0.08274461649678802 -0.04777262660841292 2.1019955707701685 5890 5773 5728 15 14 15 -0.023201460018754005 -0.08858739584684372 1.2511531114578247 
2.28014874458313 0.75 0.0199877895609639 -0.07343608162245176 4.572707439598059 0.0 0.0 2.1398738667630317 5905 5787 5743 13 13 13 -0.02454369328916073 -0.08820389956235886 1.2611240148544312 
2.285379409790039 0.75 0.0199877895609639 -0.07343608162245242 4.582936036681187 0.0 0.0 2.1716766630843503 5918 5800 5756 13 13 13 -0.02454369328916073 -0.08820389956235886 1.2611240148544312 
2.2906177043914795 0.75 0.0199877895609639 -0.07343608162245176 4.593164633764315 0.0 0.0 2.15481460159778 5931 5813 5769 14 14 14 -0.02684466540813446 -0.08590292930603027 1.280490517616272 
2.2958590984344482 0.75 0.019987789560964475 -0.07343608162245276 4.604180046007682 -0.07752012705927758 -0.044756266225287826 2.1035445125885297 5945 5827 5783 16 15 16 -0.02780340239405632 -0.08475244045257568 1.2900779247283936 
2.3012664318084717 0.75 0.019533521616396553 -0.07369835334253261 4.61650681685145 0.0 0.0 2.1767603922381977 5961 5842 5799 13 13 13 -0.02876214124262333 -0.08417719602584839 1.2996652126312256 
2.3066563606262207 0.75 0.019533521616396553 -0.07369835334253261 4.636964011017705 0.0 0.0 2.139426288041684 5987 5868 5825 13 13 13 -0.030679617077112198 -0.08494418859481812 1.3173060417175293 
2.3119282722473145 0.75 0.019533521616395978 -0.07369835334253227 4.647192608100832 -0.08637914899550589 -0.049871024924926205 2.1943250966967534 6000 5881 5838 15 14 15 -0.031254857778549194 -0.08513593673706055 1.325551152229309 
2.3171770572662354 0.75 0.019079253671829204 -0.07396062506261278 4.658732563784361 0.09105390750999523 -0.05256999801166304 2.155369918478185 6015 5895 5853 14 14 13 -0.031446605920791626 -0.08494418859481812 1.3336045742034912 
2.3224403858184814 0.75 0.019533521616397126 -0.07422289678269263 4.6694857043076485 -0.07932040240394028 0.04579565568014437 2.1066001612866425 6029 5909 5866 15 15 16 -0.03163835406303406 -0.08436894416809082 1.3414661884307861 
2.3276777267456055 0.75 0.019079253671829204 -0.07396062506261278 4.681550203431337 0.07299822345610905 -0.04214554396274902 1.6015306705844619 6044 5924 5882 13 13 12 -0.03202185034751892 -0.08379369974136353 1.3491361141204834 
2.3329391479492188 0.75 0.019533521616396553 -0.07422289678269296 4.691516528794383 -0.0907446952791383 -0.05239147424694114 2.1480504441245833 6057 5937 5894 14 13 14 -0.032405346632003784 -0.08341021090745926 1.3568060398101807 
2.33821177482605 0.75 0.01907925367182978 -0.07448516850277347 4.702269669317672 0.0 0.0 2.0008014246422396 6071 5950 5908 12 12 12 -0.03317233547568321 -0.08379369974136353 1.3650511503219604 
2.3434512615203857 0.75 0.01907925367182978 -0.0744851685027728 4.711711451240558 0.0 0.0 2.061801468076455 6083 5962 5920 13 13 13 -0.03374757990241051 -0.08379369974136353 1.3736798763275146 
2.348689317703247 0.75 0.019079253671829204 -0.07448516850277247 4.7219400483236855 -0.09471808685724897 -0.054685512944159055 2.078049491878045 6096 5975 5933 13 12 13 -0.034322820603847504 -0.08341021090745926 1.3823084831237793 
2.3539302349090576 0.75 0.018624985727261855 -0.07474744022285332 4.731906373686733 0.08632990204624966 -0.04984259218551627 2.0435462796061694 6109 5987 5946 14 14 13 -0.0348980650305748 -0.08283496648073196 1.3913205862045288 
2.3591771125793457 0.75 0.019079253671829204 -0.07500971194293349 4.74265951421002 -0.18185265995491048 8.304621269071208e-17 2.0473573024674323 6123 6001 5959 13 12 14 -0.035473305732011795 -0.0824514701962471 1.4007163047790527 
2.3644137382507324 0.75 0.018170717782694506 -0.07500971194293349 4.7528881112931485 0.0 0.0 2.0008014246422396 6136 6013 5973 12 12 12 -0.035473305732011795 -0.0824514701962471 1.4007163047790527 
2.369645118713379 0.75 0.018170717782694506 -0.07500971194293349 4.762329893216035 0.08841337963553261 -0.05104548853253933 2.0928650298341114 6148 6025 5985 14 14 13 -0.03681553900241852 -0.0818762257695198 1.4200828075408936 
2.374887228012085 0.75 0.01862498572726243 -0.07527198366301333 4.773083033739322 -0.07508561067229191 -0.043350697533915176 2.0374827840940144 6162 6039 5998 16 15 16 -0.037582531571388245 -0.08168447762727737 1.4296700954437256 
2.3801345825195312 0.75 0.018170717782694506 -0.07553425538309384 4.785409804583091 0.0 0.0 2.002923615376905 6178 6054 6014 12 12 12 -0.03796602413058281 -0.08168447762727737 1.4392575025558472 
2.385363817214966 0.75 0.018170717782693933 -0.07553425538309418 4.7948515865059775 0.0 0.0 2.16753487669576 6190 6066 6026 13 13 13 -0.03834952041506767 -0.08110923320055008 1.4488449096679688 
2.3905978202819824 0.75 0.018170717782694506 -0.07553425538309384 4.805080183589105 0.0 0.0 2.0037737527348747 6203 6079 6039 12 12 12 -0.0391165129840374 -0.08034224808216095 1.4580488204956055 
2.395826816558838 0.75 0.018170717782694506 -0.07553425538309384 4.814521965511991 -0.08867225152593522 -0.051194948288148995 2.098992879814106 6215 6091 6051 14 13 14 -0.039691753685474396 -0.07976700365543365 1.4674444198608398 
2.401073694229126 0.75 0.01771644983812716 -0.07579652710317401 4.82527510603528 0.09065414978394855 0.052339197780919354 2.0935679112367747 6229 6104 6065 13 14 13 -0.04026699811220169 -0.07976700365543365 1.4766483306884766 
2.4065308570861816 0.75 0.018170717782694506 -0.07553425538309384 4.835765974838487 0.0 0.0 2.07712555501732 6242 6118 6078 15 15 15 -0.040650490671396255 -0.07957525551319122 1.485660433769226 
2.411844253540039 0.75 0.018170717782694506 -0.07553425538309384 4.847568202242095 -0.09628400690279068 -0.05558959730398199 2.112404697551315 6257 6133 6093 13 12 13 -0.04103398695588112 -0.07919175922870636 1.4948643445968628 
