i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y
69 0.7470412254333496 -0.0016490340232901857 -0.001649039069345104 0.0 0.001554728944500635 0.0005690661695996111 -0.002123795114100246 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
70 0.7576930522918701 -0.0016490340232880763 -0.0016490370509210273 0.0 0.0015547270415121658 0.0005690671210921233 -0.0021237941626042894 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
71 0.7682881355285645 -0.0016490340232868106 -0.001649035839866581 0.0 0.001554725899719084 0.0005690676919876307 -0.0021237935917067146 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
72 0.7793090343475342 -0.001649034023286051 -0.0016490351132339134 0.0 0.001554725214643235 0.0005690680345249349 -0.0021237932491681697 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
73 0.7904491424560547 -0.0016490340232855954 -0.001649034677254313 0.0 0.0015547248035977256 0.0005690682400473178 -0.0021237930436450434 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
74 0.8018195629119873 -0.001649034023285322 -0.0016490344156665526 0.0 0.00155472455697042 0.0005690683633607474 -0.0021237929203311674 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
75 0.8129632472991943 -0.001649034023285158 -0.0016490342587138962 0.0 0.0015547244089940365 0.0005690684373488051 -0.0021237928463428415 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
76 0.8240416049957275 -0.0016490340232850596 -0.0016490341645423025 0.0 0.0015547243202082067 0.0005690684817416398 -0.002123792801949846 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
77 0.8350362777709961 -0.0016490340232850004 -0.0016490341080393463 0.0 0.0015547242669367086 0.0005690685083773403 -0.0021237927753140493 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
78 0.8461198806762695 -0.001649034023284965 -0.0016490340741375726 0.0 0.0015547242349738099 0.0005690685243587609 -0.0021237927593325706 0.01098635927996551 0.01098635927996551 0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 -0.01098635927996551 -0.01098635927996551 0.0 8.6 0.0 0.02 8.6 0.0 0.02
