i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
64 0.3475375175476074 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
65 0.35297513008117676 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
66 0.35829758644104004 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
67 0.3636748790740967 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
68 0.3690636157989502 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
69 0.37457942962646484 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
70 0.38001513481140137 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
71 0.3853874206542969 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
72 0.39067983627319336 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
73 0.3960301876068115 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
74 0.40137410163879395 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
75 0.4066646099090576 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
76 0.41207218170166016 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
77 0.41745567321777344 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
78 0.42293405532836914 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
79 0.42835378646850586 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
80 0.4336977005004883 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
81 0.43904876708984375 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
82 0.44444894790649414 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
83 0.44982266426086426 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
84 0.455167293548584 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
85 0.4604682922363281 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
86 0.46581029891967773 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
87 0.47109460830688477 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
