i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y cost autotune
89 1.1809251308441162 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
90 1.1924362182617188 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
91 1.2045855522155762 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
92 1.217327356338501 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
93 1.2306735515594482 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
94 1.2433135509490967 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
95 1.2560703754425049 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
96 1.2684862613677979 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
97 1.2809762954711914 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
98 1.2932207584381104 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
99 1.3057525157928467 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
100 1.3178882598876953 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
101 1.3297197818756104 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
102 1.3418867588043213 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
103 1.3536617755889893 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
104 1.3656058311462402 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.22 0.02 8.6 0.22 0.02 inf 0.0
