i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 theta_x_dot theta_y_dot e_x e_y abort K_x_0 K_x_1 K_y_0 K_y_1 Q_scale R_scale
572 6.2118494510650635 0.3405740439620086 -0.96 0.0 0.7306258824070992 0.17447079751168137 -0.9050966799187807 -1.1315919109069799 0.10986316591283198 2.0764184888188963 -0.15988462612019483 0.9298553255937646 -0.9144278616698861 -4.8740111914946525 5.848813429793583 -1.7059039170231285 0.087738027201577 0.38858049908125464 1.1315919109069799 -0.10986316591283198 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
573 6.222752809524536 0.10585656938239371 -0.96 0.0 0.5389798669288535 0.36611681298992726 -0.9050966799187807 -0.9887694537108398 0.34057628390528455 1.9335992332739298 -0.21177700477324052 0.9901626845689259 -0.9270503321530595 -5.280903227645489 4.725018677367016 -0.27794227513923625 0.11592035385678712 0.38473580174936717 0.9887694537108398 -0.34057628390528455 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
574 6.233418703079224 -0.20637254202678976 -0.96 0.0 0.2840458649971531 0.6210508149216276 -0.9050966799187807 -0.8020019862816609 0.615234412130776 1.8017629219143436 -0.2650718801466388 1.0336400828998562 -0.9242453387123543 -5.653156439676968 3.5974631888853437 1.5417699380937189 0.15385749156591608 0.39767280028008745 0.8020019862816609 -0.615234412130776 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
575 6.244346618652344 -0.5235489584002614 -0.96 0.0 0.025072405477304723 0.880024274441476 -0.9050966799187807 -0.5932618002925508 0.8679198217963365 1.6699266105547574 -0.32117174896074224 1.067300004188318 -0.9046103846274182 -5.254868405974983 1.9360041495697304 2.7657202136710435 0.1897499105592506 0.39883664132345054 0.5932618002925508 -0.8679198217963365 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
576 6.2550318241119385 -0.5379602033801505 -0.96 0.0 0.0133056732243134 0.8917910066944673 -0.9050966799187807 -0.5053711394962384 0.988769346989134 1.6040016246857944 -0.3744666243341405 1.084129964832549 -0.8737554567796613 -4.763308750932154 0.5954135938665193 3.8701883601323757 0.18046995663179105 0.35849055829637827 0.5053711394962384 -0.988769346989134 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
577 6.266049385070801 -0.96 -0.96 0.0 -0.33128837773122644 0.96 -0.9050966799187807 -0.2087402927108158 1.4392087968072504 1.3732914949011037 -0.44178646691106466 1.0785199779511387 -0.8106431043637948 -3.4722427572170487 -1.7361213786085243 4.919010572724153 0.2385113831010327 0.42973882682567965 0.2087402927108158 -1.4392087968072504 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
578 6.276962995529175 -0.96 -0.96 0.0 -0.33128837773122644 0.96 -0.9050966799187807 -0.12084963191450326 1.669921914799703 1.2634210719122787 -0.4768488849198793 1.0546775337051448 -0.7573482289903966 -2.381654375466077 -2.9770679693325968 5.358722344798673 0.21892106687318863 0.4175850001593684 0.12084963191450326 -1.669921914799703 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
579 6.287889242172241 -0.8470868966931379 -0.96 0.0 -0.2390952149392345 0.96 -0.9050966799187807 -0.08789066079631251 1.9006346059053325 1.1535643093017935 -0.49928883244552075 1.0224201091370353 -0.7068583470577035 -1.6660028355009933 -3.887339949502318 5.831009924253476 0.18566663806878242 0.4077764580234949 0.08789066079631251 -1.9006346059053325 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
580 6.298795938491821 -0.6410799150233693 -0.96 0.0 -0.07089121875862767 0.96 -0.9050966799187807 -0.09887691335457224 2.164306801737682 1.0217279979422074 -0.5133137996490466 0.983150200967163 -0.6507584782436 -0.539629365276101 -4.586849604846858 6.205737700675161 0.14501672896180337 0.41061980546558213 0.09887691335457224 -2.164306801737682 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
581 6.309481620788574 -0.34957649788424267 -0.96 0.0 0.1671203246642178 0.7379763552545628 -0.9050966799187807 -0.16479496231265953 2.438964929963173 0.8679121378335203 -0.5161187930897517 0.9312578223141174 -0.586243629107381 0.0 -5.2681429395547905 6.438841370566966 0.09450605275917373 0.4181095876033618 0.16479496231265953 -2.438964929963173 0.0 38.94172711344103 4.88414500146046 38.94172711344103 4.88414500146046 1.0 1.0
