i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y cost autotune steer_active
41 0.5764226913452148 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
42 0.5880062580108643 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
43 0.5995488166809082 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
44 0.6108157634735107 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
45 0.6224367618560791 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
46 0.6340482234954834 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
47 0.6453144550323486 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
48 0.6570234298706055 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
49 0.6685640811920166 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
50 0.6801316738128662 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
51 0.691669225692749 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
52 0.7029757499694824 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
53 0.7143950462341309 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
54 0.726494312286377 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
55 0.7380728721618652 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
56 0.7493259906768799 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
57 0.760627269744873 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
58 0.7721483707427979 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
59 0.7834103107452393 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
60 0.7946546077728271 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
61 0.8059682846069336 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
62 0.8173580169677734 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
63 0.8287901878356934 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
64 0.8400604724884033 0.0016494017603311305 0.0 0.0 0.0013467308978865403 -0.0013467308978865403 -0.0 0.0 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
65 0.8513739109039307 0.0016497706864588221 0.0 0.0 0.0013470321248084155 -0.0013470321248084155 -0.0 0.0 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
66 0.8629899024963379 0.0016501488532261986 0.0016493961676304857 0.0 0.0005698080866845857 -0.002124873706677412 0.0015550656199928262 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
67 0.8745746612548828 0.0016505263904798538 0.0016497737012167368 0.0 0.0005699383735220589 -0.002125359935593503 0.0015554215620714447 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
68 0.8859035968780518 0.0016508964046559524 0.0016501437117985105 0.0 0.0005700660641707495 -0.0021258364755641712 0.001555770411393422 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
69 0.8977348804473877 0.0016512817914016863 0.00165052909480059 0.0 0.0005701990598415596 -0.002126332813813814 0.0015561337539722548 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
70 0.9094321727752686 0.001651662841497341 0.0016509101411947167 0.0 0.0005703305589490014 -0.002126823566906901 0.0015564930079578995 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
71 0.920983076095581 0.0016520392285283945 0.0016512865245695396 0.0 0.0005704604488485202 -0.002127308314455304 0.0015568478656067838 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
72 0.9327213764190674 0.0016524222604265048 0.0016516695527468703 0.0 0.0005705926318693294 -0.0021278016199048812 0.0015572089880355518 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
73 0.9443786144256592 0.0016528018727439073 0.0016520491613767117 0.0 0.000570723634804328 -0.002128290521288357 0.0015575668864840288 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
74 0.9558944702148438 0.0016531773737926867 0.0016524246587778667 0.0 0.0005708532189543415 -0.00212877412778327 0.0015579209088289283 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
75 0.9672043323516846 0.0016535471315002324 0.0016527944128935789 0.0 0.0005709808210965965 -0.0021292503374489803 0.001558269516352384 -0.010986252558259729 -0.01098635927996551 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010986252558259729 0.01098635927996551 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
