i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 enc_pos_1 enc_pos_2 enc_pos_3 
60 0.3230311870574951 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1247189044952393 -0.05023787170648575 -2.891937255859375 0 0 0 0 0 0 0 -1643 1690 
61 0.32842493057250977 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.04947088286280632 -2.891937255859375 0 0 0 0 0 0 0 -1682 1728 
62 0.3338193893432617 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1251025199890137 -0.04947088286280632 -2.891362190246582 0 0 0 0 0 0 0 -1722 1769 
63 0.33948779106140137 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05004612356424332 -2.8909785747528076 0 0 0 0 0 0 0 -1764 1811 
64 0.3450629711151123 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.051004864275455475 -2.89078688621521 0 0 0 0 0 0 0 -1805 1853 
65 0.35057520866394043 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.051004864275455475 -2.89078688621521 0 0 0 0 0 0 0 -1846 1895 
66 0.3560504913330078 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.127211570739746 -0.053881075233221054 -2.889636278152466 0 0 0 0 0 0 0 -1927 1977 
67 0.3614006042480469 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.127403497695923 -0.053881075233221054 -2.8904032707214355 0 0 0 0 0 0 0 -1969 2019 
68 0.366741418838501 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1270198822021484 -0.05349758267402649 -2.891362190246582 0 0 0 0 0 0 0 -2010 2061 
69 0.3720684051513672 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05349758267402649 -2.8921291828155518 0 0 0 0 0 0 0 -2051 2103 
70 0.3775358200073242 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.053114086389541626 -2.891937255859375 0 0 0 0 0 0 0 -2092 2145 
71 0.3829367160797119 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05273059010505676 -2.8917455673217773 0 0 0 0 0 0 0 -2134 2187 
72 0.3883388042449951 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05273059010505676 -2.8917455673217773 0 0 0 0 0 0 0 -2175 2229 
73 0.3940582275390625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1251025199890137 -0.0517718531191349 -2.8917455673217773 0 0 0 0 0 0 0 -2214 2268 
74 0.3994619846343994 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1247189044952393 -0.05158010497689247 -2.8917455673217773 0 0 0 0 0 0 0 -2258 2313 
75 0.4048652648925781 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1245272159576416 -0.05138835683465004 -2.8917455673217773 0 0 0 0 0 0 0 -2300 2354 
76 0.41078877449035645 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.0517718531191349 -2.8923208713531494 0 0 0 0 0 0 0 -2341 2396 
77 0.4162144660949707 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.05273059010505676 -2.893087863922119 0 0 0 0 0 0 0 -2424 2478 
78 0.4215857982635498 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1270198822021484 -0.05330583453178406 -2.893087863922119 0 0 0 0 0 0 0 -2465 2519 
79 0.4269523620605469 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1270198822021484 -0.05330583453178406 -2.893087863922119 0 0 0 0 0 0 0 -2508 2562 
80 0.4323275089263916 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1270198822021484 -0.053881075233221054 -2.8927042484283447 0 0 0 0 0 0 0 -2546 2600 
81 0.4377119541168213 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126828193664551 -0.05445631965994835 -2.8917455673217773 0 0 0 0 0 0 0 -2587 2640 
82 0.4432032108306885 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126828193664551 -0.053881075233221054 -2.8917455673217773 0 0 0 0 0 0 0 -2629 2682 
83 0.4487771987915039 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126828193664551 -0.05330583453178406 -2.8923208713531494 0 0 0 0 0 0 0 -2671 2723 
84 0.4541618824005127 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.05273059010505676 -2.8927042484283447 0 0 0 0 0 0 0 -2712 2764 
85 0.4595487117767334 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1262528896331787 -0.051963601261377335 -2.8928961753845215 0 0 0 0 0 0 0 -2754 2806 
86 0.464907169342041 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.125485897064209 -0.05158010497689247 -2.893087863922119 0 0 0 0 0 0 0 -2795 2848 
87 0.4703042507171631 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.05138835683465004 -2.893087863922119 0 0 0 0 0 0 0 -2837 2889 
88 0.47568511962890625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1245272159576416 -0.05081311613321304 -2.8928961753845215 0 0 0 0 0 0 0 -2881 2934 
89 0.48103833198547363 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1245272159576416 -0.04966263100504875 -2.892512559890747 0 0 0 0 0 0 0 -2965 3017 
90 0.48637914657592773 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.124910593032837 -0.04947088286280632 -2.8923208713531494 0 0 0 0 0 0 0 -3004 3056 
91 0.49172163009643555 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1252942085266113 -0.04927913472056389 -2.8917455673217773 0 0 0 0 0 0 0 -3046 3098 
