i t roll_deg pitch_deg yaw_deg
316 3.21882963180542 0.2526855163872663 0.18676768087259055 2.0654287144443457
317 3.2289347648620605 0.2526855163872663 0.18676768087259055 2.0654287144443457
318 3.2390387058258057 0.24169926382900653 0.18676768087259055 2.0654287144443457
319 3.249147415161133 0.24169926382900653 0.18676768087259055 2.0654287144443457
320 3.259284257888794 0.24169926382900653 0.18676768087259055 2.0654287144443457
321 3.269395112991333 0.24169926382900653 0.18676768087259055 2.0654287144443457
322 3.2794976234436035 0.24169926382900653 0.18676768087259055 2.0654287144443457
323 3.2896063327789307 0.24169926382900653 0.18676768087259055 2.0654287144443457
324 3.2997190952301025 0.24169926382900653 0.18676768087259055 2.0654287144443457
325 3.3098208904266357 0.24169926382900653 0.17578132159262502 2.0654287144443457
326 3.31992506980896 0.24169926382900653 0.17578132159262502 2.0654287144443457
327 3.3300318717956543 0.24169926382900653 0.17578132159262502 2.0654287144443457
328 3.3401238918304443 0.24169926382900653 0.17578132159262502 2.0654287144443457
329 3.35024094581604 0.24169926382900653 0.17578132159262502 2.0654287144443457
330 3.3603553771972656 0.23071290454904103 0.17578132159262502 2.0654287144443457
331 3.37046217918396 0.23071290454904103 0.17578132159262502 2.0654287144443457
332 3.380568504333496 0.23071290454904103 0.17578132159262502 2.0654287144443457
333 3.3907041549682617 0.23071290454904103 0.17578132159262502 2.0654287144443457
334 3.400947093963623 0.23071290454904103 0.17578132159262502 2.0654287144443457
335 3.411179780960083 0.23071290454904103 0.17578132159262502 2.0654287144443457
336 3.4213674068450928 0.23071290454904103 0.17578132159262502 2.0654287144443457
337 3.431553840637207 0.23071290454904103 0.17578132159262502 2.0654287144443457
338 3.441720962524414 0.23071290454904103 0.17578132159262502 2.0654287144443457
339 3.45200777053833 0.23071290454904103 0.17578132159262502 2.0654287144443457
340 3.4622044563293457 0.23071290454904103 0.17578132159262502 2.0654287144443457
341 3.4724013805389404 0.2197265452690755 0.17578132159262502 2.0654287144443457
342 3.4828975200653076 0.2197265452690755 0.17578132159262502 2.0654287144443457
343 3.493107318878174 0.2197265452690755 0.17578132159262502 2.0654287144443457
344 3.5032644271850586 0.2197265452690755 0.17578132159262502 2.0654287144443457
345 3.5135228633880615 0.2197265452690755 0.17578132159262502 2.0654287144443457
346 3.5236730575561523 0.2197265452690755 0.17578132159262502 2.0654287144443457
347 3.5364763736724854 0.2197265452690755 0.17578132159262502 2.0654287144443457
348 3.5467934608459473 0.2197265452690755 0.17578132159262502 2.0654287144443457
349 3.5570242404937744 0.2197265452690755 0.16479496231265953 2.0654287144443457
350 3.5671675205230713 0.2197265452690755 0.16479496231265953 2.0654287144443457
351 3.57728910446167 0.2087402927108158 0.16479496231265953 2.0654287144443457
352 3.5874624252319336 0.2087402927108158 0.16479496231265953 2.0654287144443457
353 3.5992228984832764 0.2087402927108158 0.16479496231265953 2.0654287144443457
354 3.6094415187835693 0.2087402927108158 0.16479496231265953 2.0654287144443457
355 3.6195948123931885 0.2087402927108158 0.16479496231265953 2.0654287144443457
356 3.6297314167022705 0.2087402927108158 0.16479496231265953 2.0654287144443457
357 3.639845371246338 0.2087402927108158 0.16479496231265953 2.0654287144443457
358 3.6499438285827637 0.2087402927108158 0.16479496231265953 2.0654287144443457
359 3.6600677967071533 0.2087402927108158 0.16479496231265953 2.0654287144443457
360 3.6702141761779785 0.2087402927108158 0.16479496231265953 2.0654287144443457
361 3.6803669929504395 0.2087402927108158 0.16479496231265953 2.0654287144443457
362 3.6905055046081543 0.2087402927108158 0.16479496231265953 2.0654287144443457
363 3.70062518119812 0.2087402927108158 0.16479496231265953 2.0654287144443457
364 3.710733413696289 0.2087402927108158 0.16479496231265953 2.0654287144443457
365 3.7208423614501953 0.2087402927108158 0.16479496231265953 2.0654287144443457
366 3.730957269668579 0.2087402927108158 0.16479496231265953 2.0654287144443457
367 3.741060495376587 0.2087402927108158 0.16479496231265953 2.0654287144443457
368 3.7511632442474365 0.2087402927108158 0.16479496231265953 2.0654287144443457
369 3.7612931728363037 0.2087402927108158 0.16479496231265953 2.0654287144443457
370 3.771453857421875 0.2087402927108158 0.16479496231265953 2.0654287144443457
371 3.781588077545166 0.2087402927108158 0.16479496231265953 2.0654287144443457
372 3.7917048931121826 0.2087402927108158 0.16479496231265953 2.0654287144443457
373 3.801806688308716 0.2087402927108158 0.16479496231265953 2.0654287144443457
374 3.8119187355041504 0.2087402927108158 0.16479496231265953 2.0654287144443457
375 3.8220276832580566 0.2087402927108158 0.16479496231265953 2.0654287144443457
376 3.8321454524993896 0.2087402927108158 0.16479496231265953 2.0654287144443457
377 3.8422505855560303 0.2087402927108158 0.16479496231265953 2.0654287144443457
378 3.8523614406585693 0.2087402927108158 0.16479496231265953 2.0654287144443457
379 3.8625872135162354 0.2087402927108158 0.16479496231265953 2.0654287144443457
380 3.872748851776123 0.2087402927108158 0.16479496231265953 2.0654287144443457
381 3.884106397628784 0.2087402927108158 0.16479496231265953 2.0654287144443457
382 3.8942630290985107 0.2087402927108158 0.16479496231265953 2.0654287144443457
383 3.904398202896118 0.19775393343085026 0.16479496231265953 2.0654287144443457
384 3.9146265983581543 0.19775393343085026 0.16479496231265953 2.0654287144443457
385 3.924790859222412 0.19775393343085026 0.16479496231265953 2.0654287144443457
386 3.934945821762085 0.19775393343085026 0.16479496231265953 2.0654287144443457
387 3.9450998306274414 0.19775393343085026 0.16479496231265953 2.0654287144443457
388 3.9552688598632812 0.19775393343085026 0.16479496231265953 2.0654287144443457
