i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z theta_d_x theta_d_y phi_x phi_y dphi_x dphi_y psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y p_x i_x d_x p_y i_y d_y
41 0.5791440010070801 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
42 0.590538740158081 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
43 0.6021819114685059 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
44 0.6137869358062744 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
45 0.6254513263702393 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
46 0.6370646953582764 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
47 0.6485490798950195 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
48 0.6600027084350586 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
49 0.6713972091674805 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
50 0.6828110218048096 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
